Timestamp,PM25,PM10,NO2,SO2,CO,Ozone,NH3,RH,WS,WD,City,AQI,AQI_Category,Month,Year
2024-01-01,88.27,126.71,45.97,22.24,0.79,31.2,19.81,90.87,0.61,166.15,Kolkata,194.291,Moderate,1,2024
2024-01-02,81.67,120.82,47.98,18.81,0.64,31.2,20.33,80.87,0.51,181.74,Kolkata,172.511,Moderate,1,2024
2024-01-03,68.04,103.62,49.77,12.97,0.96,30.99,27.68,82.43,0.51,155.69,Kolkata,127.53200000000001,Moderate,1,2024
2024-01-04,83.97,121.38,66.23,16.1,1.46,31.17,33.45,83.56,0.49,173.3,Kolkata,180.101,Moderate,1,2024
2024-01-05,104.03,149.24,83.01,19.01,2.09,31.1,51.67,78.05,0.55,151.18,Kolkata,247.299,Poor,1,2024
2024-01-06,91.34,131.49,76.54,19.81,1.39,31.35,34.12,78.24,0.5,179.76,Kolkata,205.42200000000003,Poor,1,2024
2024-01-07,100.48,138.63,49.62,25.76,0.84,31.24,19.29,86.53,0.53,167.83,Kolkata,235.584,Poor,1,2024
2024-01-08,111.85,150.76,50.5,28.89,0.81,31.18,17.92,90.24,0.57,139.84,Kolkata,273.10499999999996,Poor,1,2024
2024-01-09,93.55,125.8,49.24,19.68,0.79,31.23,29.24,87.19,0.5,172.31,Kolkata,212.71499999999997,Poor,1,2024
2024-01-10,97.92,143.99,119.63,20.98,1.06,31.12,44.02,78.35,0.5,179.85,Kolkata,227.136,Poor,1,2024
2024-01-11,97.38,141.97,86.32,20.84,0.71,31.2,24.14,82.49,0.56,163.61,Kolkata,225.35399999999998,Poor,1,2024
2024-01-12,85.76,119.15,63.08,14.57,0.44,31.12,16.78,81.23,0.58,130.45,Kolkata,186.008,Moderate,1,2024
2024-01-13,101.36,139.24,93.54,19.02,0.89,31.07,30.69,77.28,0.53,188.38,Kolkata,238.488,Poor,1,2024
2024-01-14,126.88,165.16,77.59,19.63,0.75,31.22,18.35,80.47,0.47,179.63,Kolkata,306.2393846153846,Very Poor,1,2024
2024-01-15,115.17,161.8,51.61,11.96,0.7,31.11,14.33,91.74,0.68,128.03,Kolkata,284.06100000000004,Poor,1,2024
2024-01-16,103.91,140.08,70.16,14.02,0.34,31.14,19.14,91.86,0.5,134.04,Kolkata,246.903,Poor,1,2024
2024-01-17,79.94,118.43,62.71,9.81,0.22,31.2,16.03,94.45,0.79,82.2,Kolkata,166.802,Moderate,1,2024
2024-01-18,79.95,131.02,58.89,12.1,0.56,31.18,16.18,99.75,0.76,94.42,Kolkata,166.835,Moderate,1,2024
2024-01-19,73.67,102.69,59.61,12.19,1.31,31.18,17.74,98.22,0.55,130.69,Kolkata,146.111,Moderate,1,2024
2024-01-20,93.72,146.39,80.36,14.54,1.19,31.25,41.71,91.38,0.63,149.99,Kolkata,213.276,Poor,1,2024
2024-01-21,118.17,168.48,97.74,15.24,1.46,31.11,50.78,93.82,0.47,152.53,Kolkata,293.961,Poor,1,2024
2024-01-22,105.9,156.35,72.67,13.28,0.91,31.28,34.38,88.64,0.67,144.28,Kolkata,253.47000000000003,Poor,1,2024
2024-01-23,103.46,158.53,105.37,18.54,1.29,31.15,51.01,78.27,0.52,184.01,Kolkata,245.41799999999998,Poor,1,2024
2024-01-24,86.68,133.35,58.46,11.23,0.79,31.04,27.46,85.55,0.49,183.67,Kolkata,189.044,Moderate,1,2024
2024-01-25,83.12,129.07,65.24,13.37,1.1,31.23,34.61,85.9,0.53,157.98,Kolkata,177.296,Moderate,1,2024
2024-01-26,97.55,150.03,71.17,17.25,0.92,31.03,33.71,75.65,0.68,156.94,Kolkata,225.915,Poor,1,2024
2024-01-27,72.36,121.61,88.57,17.57,1.01,31.14,45.96,67.84,0.49,190.85,Kolkata,141.788,Moderate,1,2024
2024-01-28,84.85,140.08,94.58,17.61,1.21,31.23,43.18,68.49,0.44,173.43,Kolkata,183.005,Moderate,1,2024
2024-01-29,77.13,124.62,70.91,24.42,0.45,31.13,28.9,69.08,0.46,174.15,Kolkata,157.529,Moderate,1,2024
2024-01-30,56.24,86.6,39.11,20.04,0.49,31.95,19.64,89.17,0.48,170.33,Kolkata,93.85866666666666,Satisfactory,1,2024
2024-01-31,49.81,83.29,32.8,14.6,0.5,31.15,14.45,94.83,0.48,154.19,Kolkata,83.6242,Satisfactory,1,2024
2024-02-01,48.88,78.24,45.67,7.99,0.58,31.06,16.4,99.75,0.43,143.09,Kolkata,81.83733333333333,Satisfactory,2,2024
2024-02-02,53.07,86.02,50.0,18.62,0.64,30.96,18.0,91.65,0.48,208.8,Kolkata,88.681,Satisfactory,2,2024
2024-02-03,56.24,104.31,53.97,19.71,0.64,31.15,17.85,75.49,0.52,217.74,Kolkata,103.8446,Moderate,2,2024
2024-02-04,64.69,106.09,60.56,20.6,0.76,31.16,19.78,71.96,0.63,215.07,Kolkata,116.47699999999999,Moderate,2,2024
